Name,Qty,Price (CAD),,Total,Total (USD)
CAP CER 4.7UF 25V X5R 0805,10,0.83,,147.89,108.8506973
CAP CER 10UF 10V X7R 0805,10,0.44,,,
CAP CER 1UF 50V X7R 0805,10,0.35,,,
CAP CER 0.1UF 100V X7R 0805,10,0.2,,,
CAP CER 0.22UF 50V X7R 0805,10,0.28,,,
PTC RESET FUSE 6V 1.5A 1206,1,0.7,,,
RES 5.1K OHM 5% 1/8W 0805,10,0.12,,,
RES 470 OHM 5% 1/8W 0805,10,0.48,,,
RES 0 OHM JUMPER 1/8W 0805,10,0.16,,,
RES SMD 10K OHM 5% 1/8W 0805,10,0.64,,,
RES 4.02K OHM 1% 1/8W 0805,10,0.39,,,
RES SMD 20K OHM 0.1% 1/8W 0805,10,0.95,,,
RES SMD 2.2K OHM 1% 1/8W 0805,10,0.54,,,
RES 1K OHM 1% 1/8W 0805,10,0.19,,,
IC BATT CHG LI-ION 1CELL 20QFN,1,3.74,,,
IC REG LINEAR 3.3V 300MA SOT23-5,1,0.25,,,
1.5V~10V LITHIUM-ION/POLYMER 1 S,1,0.16,,,
SENSOR DGTL -40C-85C TO39,1,54.76,,,
SWITCH SLIDE DPDT 1A 125V,1,2.78,,,
,,,,,
10Pair 2P JST PH Connectors,1,3.23,,,
"2.8"" TFT",1,9.78,,,
ESP32 S3 WROOM-1 N16R8,1,4.63,,,
Battery,1,18.79,,,
Digikey Shipping,,8,,,
JLCPCB,,,,,
PCB,,,2,,
Stencil,,,9.57,,
Shipping,,,23.93,,
JLC TOTAL,,35.5,35.5,,
